Gene_Hugo_ID,Gene_Name,Role,Cancer_ID,Cancer_Name,TCGA_based_Cancer_Type
HGNC:3430,ERBB2,Driver,DOID:1612,breast cancer,Breast
HGNC:7553,MYC,Driver,DOID:1612,breast cancer,Breast
HGNC:11998,TP53,Driver,DOID:1612,breast cancer,Breast
HGNC:1100,BRCA1,Driver,DOID:1612,breast cancer,Breast
HGNC:8975,PIK3CA,Driver,DOID:1612,breast cancer,Breast
HGNC:3430,ERBB2,Driver,DOID:3459,breast carcinoma,Breast
HGNC:3236,EGFR,Driver,DOID:1612,breast cancer,Breast
HGNC:12774,WNT1,Driver,DOID:1612,breast cancer,Breast
HGNC:391,AKT1,Driver,DOID:1612,breast cancer,Breast
HGNC:3467,ESR1,Driver,DOID:1612,breast cancer,Breast
HGNC:9588,PTEN,Driver,DOID:1612,breast cancer,Breast
HGNC:16262,YAP1,Driver,DOID:1612,breast cancer,Breast
HGNC:11364,STAT3,Driver,DOID:1612,breast cancer,Breast
HGNC:8947,PI3,Driver,DOID:1612,breast cancer,Breast
HGNC:4172,GATA3,Driver,DOID:1612,breast cancer,Breast
HGNC:3431,ERBB3,Driver,DOID:1612,breast cancer,Breast
HGNC:3430,ERBB2,Driver,DOID:3458,breast adenocarcinoma,Breast
HGNC:3688,FGFR1,Driver,DOID:1612,breast cancer,Breast
HGNC:2561,CXCR4,Driver,DOID:1612,breast cancer,Breast
HGNC:1101,BRCA2,Driver,DOID:1612,breast cancer,Breast
HGNC:7178,MMRN1,Driver,DOID:1612,breast cancer,Breast
HGNC:5464,IGF1,Driver,DOID:1612,breast cancer,Breast
HGNC:3818,FOXM1,Driver,DOID:1612,breast cancer,Breast
HGNC:1748,CDH1,Driver,DOID:1612,breast cancer,Breast
HGNC:12680,VEGFA,Driver,DOID:1612,breast cancer,Breast
HGNC:11577,TAFAZZIN,Driver,DOID:1612,breast cancer,Breast
HGNC:9607,PTHLH,Driver,DOID:1612,breast cancer,Breast
HGNC:9605,PTGS2,Driver,DOID:1612,breast cancer,Breast
HGNC:7765,NF1,Driver,DOID:1612,breast cancer,Breast
HGNC:30134,PELP1,Driver,DOID:1612,breast cancer,Breast
HGNC:11128,SNAI1,Driver,DOID:1612,breast cancer,Breast
HGNC:7381,MST1R,Driver,DOID:1612,breast cancer,Breast
HGNC:6407,KRAS,Driver,DOID:1612,breast cancer,Breast
HGNC:1582,CCND1,Driver,DOID:1612,breast cancer,Breast
HGNC:10618,CCL2,Driver,DOID:1612,breast cancer,Breast
HGNC:9611,PTK2,Driver,DOID:1612,breast cancer,Breast
HGNC:9591,PTGDR,Driver,DOID:1612,breast cancer,Breast
HGNC:7881,NOTCH1,Driver,DOID:1612,breast cancer,Breast
HGNC:7670,NCOA3,Driver,DOID:1612,breast cancer,Breast
HGNC:7545,MYB,Driver,DOID:1612,breast cancer,Breast
HGNC:7160,MMP14,Driver,DOID:1612,breast cancer,Breast
HGNC:6871,MAPK1,Driver,DOID:1612,breast cancer,Breast
HGNC:6553,LEP,Driver,DOID:1612,breast cancer,Breast
HGNC:6081,INS,Driver,DOID:1612,breast cancer,Breast
HGNC:5173,HRAS,Driver,DOID:1612,breast cancer,Breast
HGNC:2235,KLF6,Driver,DOID:1612,breast cancer,Breast
HGNC:1681,CD44,Driver,DOID:1612,breast cancer,Breast
HGNC:11642,ZEB1,Driver,DOID:1612,breast cancer,Breast
HGNC:11597,TBX2,Driver,DOID:1612,breast cancer,Breast
HGNC:11283,SRC,Driver,DOID:1612,breast cancer,Breast
HGNC:10672,CXCL12,Driver,DOID:1612,breast cancer,Breast
HGNC:9954,REL,Driver,DOID:1612,breast cancer,Breast
HGNC:990,BCL2,Driver,DOID:1612,breast cancer,Breast
HGNC:9617,PTK6,Driver,DOID:1612,breast cancer,Breast
HGNC:9445,PRL,Driver,DOID:1612,breast cancer,Breast
HGNC:8576,PAFAH1B3,Driver,DOID:1612,breast cancer,Breast
HGNC:7380,MST1,Driver,DOID:1612,breast cancer,Breast
HGNC:7176,MMP9,Driver,DOID:1612,breast cancer,Breast
HGNC:6974,MDM4,Driver,DOID:1612,breast cancer,Breast
HGNC:6018,IL6,Driver,DOID:1612,breast cancer,Breast
HGNC:3656,MYOF,Driver,DOID:1612,breast cancer,Breast
HGNC:3287,EIF4E,Driver,DOID:1612,breast cancer,Breast
HGNC:28230,MIEN1,Driver,DOID:1612,breast cancer,Breast
HGNC:26144,PALB2,Driver,DOID:1612,breast cancer,Breast
HGNC:24224,CDK12,Driver,DOID:1612,breast cancer,Breast
HGNC:14685,F11R,Driver,DOID:1612,breast cancer,Breast
HGNC:13723,CTCF,Driver,DOID:1612,breast cancer,Breast
HGNC:13533,ATP8A2,Driver,DOID:1612,breast cancer,Breast
HGNC:11926,TNFSF11,Driver,DOID:1612,breast cancer,Breast
HGNC:11602,TBX3,Driver,DOID:1612,breast cancer,Breast
HGNC:11592,TBX1,Driver,DOID:1612,breast cancer,Breast
HGNC:11094,SNAI2,Driver,DOID:1612,breast cancer,Breast
HGNC:10471,RUNX1,Driver,DOID:1612,breast cancer,Breast
HGNC:9967,RET,Driver,DOID:1612,breast cancer,Breast
HGNC:9886,KDM5A,Driver,DOID:1612,breast cancer,Breast
HGNC:9234,MED1,Driver,DOID:1612,breast cancer,Breast
HGNC:9171,PODXL,Driver,DOID:1612,breast cancer,Breast
HGNC:8638,KAT2B,Driver,DOID:1612,breast cancer,Breast
HGNC:7997,NRG1,Driver,DOID:1612,breast cancer,Breast
HGNC:7989,NRAS,Driver,DOID:1612,breast cancer,Breast
HGNC:795,ATM,Driver,DOID:1612,breast cancer,Breast
HGNC:7884,NOTCH4,Driver,DOID:1612,breast cancer,Breast
HGNC:7882,NOTCH2,Driver,DOID:1612,breast cancer,Breast
