Gene_Hugo_ID,Gene_Name,Role,Cancer_ID,Cancer_Name,TCGA_based_Cancer_Type
HGNC:9588,PTEN,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:7838,NKX3-1,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:11998,TP53,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:11254,SPOP,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:2235,KLF6,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:3819,FOXO1,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:8949,SERPINB5,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:6106,FOXP3,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:1915,CHD1,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:15472,ALDH1A2,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:545,ANXA7,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:17294,DAB2IP,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:777,ZFHX3,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:25209,PRUNE2,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:12799,WWOX,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:644,AR,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:5363,ID4,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:1787,CDKN2A,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:9588,PTEN,Tumor_Suppressor,DOID:10286,prostate carcinoma,Prostate
HGNC:785,ATF3,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:6075,INPP4B,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:23115,EAF2,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:12876,SLC39A1,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:11998,TP53,Tumor_Suppressor,DOID:10286,prostate carcinoma,Prostate
HGNC:7809,NGFR,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:6349,KLF5,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:17001,GLIPR1,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:1101,BRCA2,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:1100,BRCA1,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:9884,RB1,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:9867,RARRES1,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:6770,SMAD4,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:6348,KLF4,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:6111,IQGAP2,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:18078,ZBTB7A,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:2663,DACH1,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:19000,SCARA3,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:1785,CDKN1B,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:1784,CDKN1A,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:11115,KDM5D,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:9884,RB1,Tumor_Suppressor,DOID:10286,prostate carcinoma,Prostate
HGNC:8620,PAX6,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:8614,PAWR,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:7679,NDRG1,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:6859,MAP3K7,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:5008,HMGCS2,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:4555,GPX3,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:3823,FOXP1,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:3393,EPHB2,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:30242,TUSC3,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:28889,TMED3,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:24190,CAMK2N1,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:20610,PHLPP1,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:1748,CDH1,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:17257,SPDEF,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:16510,FBXO31,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:14929,SIRT1,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:14460,NDRG2,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:9588,PTEN,Tumor_Suppressor,DOID:2526,prostate adenocarcinoma,Prostate
HGNC:9658,PTPN6,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:8039,NTSR1,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:7372,MSMB,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:687,DIRAS3,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:6143,ITGA7,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
HGNC:4638,GSTP1,Tumor_Suppressor,DOID:10283,prostate cancer,Prostate
